id,terrestrial_date,sol,ls,month,min_temp,pressure
2,2012-08-16,10,155,6,-75.0,739.0
13,2012-08-17,11,156,6,-76.0,740.0
24,2012-08-18,12,156,6,-76.0,741.0
35,2012-08-19,13,157,6,-74.0,732.0
46,2012-08-20,14,157,6,-74.0,740.0
57,2012-08-21,15,158,6,-78.0,740.0
68,2012-08-22,16,158,6,-77.0,740.0
79,2012-08-23,17,159,6,-76.0,742.0
112,2012-08-27,21,161,6,-74.0,741.0
114,2012-08-28,22,162,6,-74.0,742.0
123,2012-08-29,23,162,6,-75.0,741.0
134,2012-08-30,24,163,6,-75.0,742.0
145,2012-08-31,25,163,6,-75.0,743.0
156,2012-09-01,26,164,6,-76.0,745.0
163,2012-09-02,27,164,6,-75.0,743.0
170,2012-09-03,28,165,6,-75.0,745.0
171,2012-09-04,29,166,6,-75.0,747.0
172,2012-09-05,30,166,6,-74.0,747.0
173,2012-09-06,31,167,6,-74.0,745.0
175,2012-09-08,33,168,6,-73.0,748.0
176,2012-09-10,34,168,6,-73.0,748.0
177,2012-09-11,35,169,6,-73.0,749.0
178,2012-09-12,36,169,6,-73.0,750.0
179,2012-09-13,37,170,6,-73.0,750.0
180,2012-09-14,38,171,6,-73.0,750.0
181,2012-09-15,39,171,6,-75.0,751.0
182,2012-09-16,40,172,6,-75.0,753.0
183,2012-09-17,41,172,6,-75.0,753.0
184,2012-09-18,42,173,6,-75.0,754.0
185,2012-09-19,43,173,6,-74.0,756.0
186,2012-09-20,44,174,6,-75.0,757.0
187,2012-09-21,45,175,6,-74.0,758.0
188,2012-09-22,46,175,6,-74.0,758.0
189,2012-09-23,47,176,6,-75.0,758.0
190,2012-09-24,48,176,6,-75.0,759.0
191,2012-09-25,49,177,6,-74.0,761.0
192,2012-09-26,50,177,6,-72.0,761.0
193,2012-09-27,51,178,6,-76.0,762.0
194,2012-09-28,52,179,6,-74.0,762.0
195,2012-09-29,53,179,6,-71.0,764.0
196,2012-09-30,54,180,7,-72.0,766.0
197,2012-10-01,55,180,7,-74.0,766.0
198,2012-10-02,56,181,7,-73.0,768.0
199,2012-10-03,57,181,7,-73.0,769.0
200,2012-10-04,58,182,7,-74.0,769.0
201,2012-10-05,59,183,7,-76.0,771.0
202,2012-10-06,60,183,7,-75.0,772.0
203,2012-10-07,61,184,7,-72.0,772.0
204,2012-10-08,62,184,7,-72.0,774.0
205,2012-10-09,63,185,7,-73.0,775.0
206,2012-10-10,64,186,7,-74.0,776.0
207,2012-10-11,65,186,7,-72.0,777.0
208,2012-10-12,66,187,7,-73.0,778.0
209,2012-10-13,67,187,7,-73.0,780.0
210,2012-10-14,68,188,7,-71.0,781.0
211,2012-10-15,69,189,7,-73.0,778.0
212,2012-10-17,70,189,7,-72.0,783.0
213,2012-10-18,71,190,7,-71.0,784.0
214,2012-10-19,72,190,7,-73.0,785.0
215,2012-10-20,73,191,7,-70.0,788.0
216,2012-10-21,74,192,7,-72.0,790.0
217,2012-10-22,75,192,7,-73.0,791.0
218,2012-10-23,76,193,7,-73.0,792.0
219,2012-10-24,77,193,7,,
